ticket_id,client_id,created_at,channel,product_module,plan,priority,status,resolution_time_hours,reopened,escalated,comment_text,true_root_cause
TCK-0012928,CLT-002222,2024-01-01T06:52:41,email,subscriptions,pro,high,resolved,48.2,False,False,"Après la mise en route, on a des erreurs de configuration.",ONBOARDING_SETUP_ERROR
TCK-0019140,CLT-001897,2024-01-01T06:54:03,email,subscriptions,pro,low,resolved,19.84,True,False,"On atteint une limite, je ne comprends pas laquelle.",PLAN_LIMIT_CONFUSION
TCK-0009187,CLT-001285,2024-01-01T07:38:59,email,billing_core,enterprise,high,resolved,17.02,False,False,"Il y a un écart sur la facturation ce mois-ci, pouvez-vous vérifier ?",BILLING_AMOUNT_INCORRECT
TCK-0017836,CLT-001795,2024-01-01T07:48:33,chat,billing_core,enterprise,urgent,resolved,82.81,False,False,Aucune facture n'a été générée pour la dernière périoode.,MISSING_INVOICE
TCK-0009358,CLT-002116,2024-01-01T08:09:47,email,billing_core,pro,medium,resolved,26.16,False,False,La génération de facture est très lente aujourd'hui.,INVOICE_GENERATION_DELAY
TCK-0004636,CLT-000401,2024-01-01T08:14:53,email,reporting,starter,high,resolved,14.91,False,False,Les chiffres du reporting ne sont pas bons.,REPORT_DATA_INCORRECT
TCK-0013486,CLT-001596,2024-01-01T08:21:35,email,billing_core,starter,low,resolved,14.32,False,False,"Erreur lors de la clôture mensuelle, on est bloqués.",MONTH_END_CLOSING_ISSUE
TCK-0010900,CLT-000272,2024-01-01T09:17:32,web,subscriptions,starter,medium,open,14.93,False,False,"On a sûrement raté un réglage à l'installation, ça ne marche pas.",ONBOARDING_SETUP_ERROR
TCK-0006025,CLT-002099,2024-01-01T09:58:53,email,billing_core,pro,low,resolved,5.12,False,False,Les remises ne semblent plus s'appliquer sur nos factures.,DISCOUNT_RULES_ISSUE
TCK-0007584,CLT-001007,2024-01-01T10:38:45,email,billing_core,starter,medium,resolved,35.61,False,False,Les remises ne semblent plus s'appliquer sur nos factures.,DISCOUNT_RULES_ISSUE
TCK-0012803,CLT-001120,2024-01-01T10:43:46,email,billing_core,starter,high,resolved,57.11,True,False,"Erreur lors de la clôture mensuelle, on est bloqués.",MONTH_END_CLOSING_ISSUE
TCK-0016368,CLT-001415,2024-01-01T11:16:17,email,integrations,starter,medium,resolved,18.63,False,False,L'API renvoie des erreurs 500 intermittentes.,API_ERROR
TCK-0006875,CLT-001610,2024-01-01T12:19:31,chat,billing_core,pro,low,open,3.06,False,False,Aucune facture n'a été générée pour la dernière période.,MISSING_INVOICE
TCK-0000365,CLT-002006,2024-01-01T13:11:25,email,billing_core,pro,low,open,8.47,False,False,Les remises disparaissent sur certaines lignes de facture.,DISCOUNT_RULES_ISSUE
TCK-0004060,CLT-001309,2024-01-01T14:17:56,chat,tax_vat,pro,high,resolved,56.85,False,False,La TVA sur la facture ne correspond pas au taux paramétré.,VAT_CALCULATION_BUG
TCK-0017452,CLT-001799,2024-01-01T14:20:06,chat,reporting,starter,low,resolved,14.1,False,True,Le rapport affiche des données inohérentes.,REPORT_DATA_INCORRECT
TCK-0009804,CLT-000443,2024-01-01T14:52:33,chat,billing_core,starter,medium,resolved,10.83,False,False,"La même facture apparaît deux fois, merci de corriger.",DUPLICATE_INVOICE
TCK-0018619,CLT-001213,2024-01-01T15:34:13,email,billing_core,starter,medium,resolved,10.66,False,False,"Le service est indisponible, on a des erreurs partout.",INFRA_INCIDENT
TCK-0001906,CLT-002151,2024-01-01T15:39:15,chat,tax_vat,starter,urgent,resolved,144.1,False,False,On dirait que le taux de TVA est incorrect sur certaines factures.,VAT_CALCULATION_BUG
TCK-0019420,CLT-002079,2024-01-01T15:40:05,email,billing_core,pro,medium,resolved,13.24,True,False,"Impossible d'accéder à l'application, c'est en panne ?",INFRA_INCIDENT
TCK-0012822,CLT-001315,2024-01-01T16:12:25,email,billing_core,pro,medium,resolved,16.3,False,False,"On a des erreurs 500, l'outil ne répond plus.",INFRA_INCIDENT
TCK-0016118,CLT-001447,2024-01-01T16:16:51,email,subscriptions,starter,high,resolved,30.9,False,False,"Une option est grisée, on dirait une limitation.",PLAN_LIMIT_CONFUSION
TCK-0004275,CLT-001477,2024-01-01T16:48:17,chat,billing_core,starter,low,open,2.18,False,False,"La facture n'est pas encore générée, c'est bloqué ?",INVOICE_GENERATION_DELAY
TCK-0015563,CLT-002118,2024-01-01T17:03:49,email,reporting,pro,high,resolved,63.77,False,False,Le rapport affiche des données incohérentes.,REPORT_DATA_INCORRECT
TCK-0001957,CLT-001073,2024-01-01T17:06:50,chat,auth_access,starter,medium,resolved,6.19,False,False,"Je n'ai pas accès à certaines pages, pourtant je devrais.",PERMISSIONS_ROLE_ISSUE
TCK-0019804,CLT-001773,2024-01-01T17:11:00,chat,billing_core,starter,high,resolved,39.02,True,False,On voit des doublons de factures dans l'historique.,DUPLICATE_INVOICE
TCK-0003541,CLT-001742,2024-01-01T17:11:34,web,tax_vat,pro,high,resolved,75.51,False,False,"Le montant TTC ne colle pas, la TVA semble mal appliquée.",VAT_CALCULATION_BUG
TCK-0008786,CLT-000891,2024-01-01T18:36:27,web,billing_core,pro,low,resolved,10.74,False,False,"Erreur lors de la clôture mensuelle, on est bloqués.",MONTH_END_CLOSING_ISSUE
TCK-0012057,CLT-001324,2024-01-01T19:40:52,chat,subscriptions,enterprise,medium,resolved,9.07,False,False,Je n'arrive pas à trouver la fonctionnalité dans l'interface.,FEATURE_MISUNDERSTANDING
TCK-0011584,CLT-002278,2024-01-01T20:12:09,chat,reporting,starter,high,resolved,50.45,False,False,Impossible d'ouvrir le CSV exporté.,CSV_EXPORT_ISSUE
TCK-0003471,CLT-000058,2024-01-01T21:07:06,web,billing_core,pro,low,resolved,7.45,False,False,"On a des erreurs 500, l'outil ne répond plus.",INFRA_INCIDENT
TCK-0018212,CLT-001005,2024-01-01T21:17:42,email,reporting,starter,medium,resolved,50.42,False,False,Le reporting ne correspond pas à nos exports.,REPORT_DATA_INCORRECT
TCK-0016717,CLT-001836,2024-01-01T22:05:39,chat,billing_core,starter,medium,resolved,26.87,False,False,Le total facturé est incorrect par rapport à notre contrat.,BILLING_AMOUNT_INCORRECT
TCK-0014248,CLT-000873,2024-01-01T22:11:21,chat,subscriptions,starter,high,resolved,35.07,False,False,"Besoin d'aide pour le setup, on est bloqués.",ONBOARDING_SETUP_ERROR
TCK-0011811,CLT-001634,2024-01-01T22:31:07,email,billing_core,pro,low,resolved,4.0,False,True,Aucune facture n'a été générée pour la dernière période.,MISSING_INVOICE
TCK-0008755,CLT-001439,2024-01-01T23:17:34,email,billing_core,starter,medium,resolved,16.86,False,False,L'application est très lente depuis quelques heures.,APP_SLOWNESS
TCK-0004015,CLT-000375,2024-01-01T23:24:44,chat,billing_core,starter,low,resolved,9.23,False,False,La clôture tourne en boucle et ne se termine pas.,MONTH_END_CLOSING_ISSUE
TCK-0000044,CLT-002015,2024-01-02T00:21:52,chat,billing_core,starter,low,resolved,6.71,False,False,Les pages mettent longtemps à charger.,APP_SLOWNESS
TCK-0018040,CLT-001246,2024-01-02T00:36:34,web,tax_vat,starter,medium,resolved,23.13,False,False,"Le total TTC est bizarre, on dirait un souci de taxes.",VAT_CALCULATION_BUG
TCK-0018320,CLT-000535,2024-01-02T00:40:33,email,auth_access,starter,medium,resolved,6.98,False,False,Impossible de changer mon mot de passe.,PASSWORD_RESET_ISSUE
TCK-0014465,CLT-000019,2024-01-02T00:54:20,chat,billing_core,starter,medium,resolved,44.77,False,False,"La même facture apparaît deux fois, merci de corriger.",DUPLICATE_INVOICE
TCK-0009523,CLT-001806,2024-01-02T01:15:56,web,tax_vat,starter,medium,resolved,46.4,False,False,"Le montant TTC ne colle pas, la TVA semble mal appliquée.",VAT_CALCULATION_BUG
TCK-0008578,CLT-001368,2024-01-02T01:18:24,web,billing_core,pro,high,open,31.75,False,False,Les pages mettent longtemps à charger.,APP_SLOWNESS
TCK-0013233,CLT-000346,2024-01-02T01:54:48,email,billing_core,enterprise,urgent,resolved,87.08,False,False,Aucune facture n'a été générée pour la dernière période.,MISSING_INVOICE
TCK-0006502,CLT-000090,2024-01-02T02:07:49,email,billing_core,enterprise,high,resolved,28.39,False,False,"Impossible d'accéder à l'application, c'est en panne ?",INFRA_INCIDENT
TCK-0008903,CLT-001689,2024-01-02T02:13:15,web,reporting,starter,medium,resolved,17.67,False,False,Le rapport affiche des données incohérentes.,REPORT_DATA_INCORRECT
TCK-0013858,CLT-000518,2024-01-02T02:30:43,web,billing_core,starter,medium,resolved,14.64,False,False,Je ne trouve pas la facture du mois dernier dans l'outil.,MISSING_INVOICE
TCK-0018946,CLT-002292,2024-01-02T02:53:33,web,billing_core,pro,medium,resolved,25.51,False,False,Je ne trouve pas la facture du mois dernier dans l'outil.,MISSING_INVOICE
TCK-0008185,CLT-001341,2024-01-02T03:00:19,email,billing_core,starter,medium,resolved,18.49,False,False,Les notifications ne sont pas envoyées aux utilisateurs.,NOTIFICATIONS_NOT_SENT
TCK-0016548,CLT-001569,2024-01-02T03:17:05,email,billing_core,starter,medium,resolved,11.23,False,False,"Il manque une facture, pouvez-vous la régénérer ?",MISSING_INVOICE
TCK-0005579,CLT-002399,2024-01-02T04:46:28,web,billing_core,starter,low,resolved,3.06,False,False,Je ne trouve pas la facture du mois dernier dans l'outil.,MISSING_INVOICE
TCK-0003707,CLT-000289,2024-01-02T04:52:47,chat,reporting,starter,medium,resolved,13.85,False,False,Impossible d'ouvrir le CSV exporté.,CSV_EXPORT_ISSUE
TCK-0016432,CLT-000512,2024-01-02T06:35:01,chat,tax_vat,starter,medium,resolved,60.27,True,False,"Le total TTC est bizarre, on dirait un souci de taxes.",VAT_CALCULATION_BUG
TCK-0008719,CLT-002268,2024-01-02T07:06:24,web,billing_core,pro,medium,resolved,23.38,False,False,"Il y a un écart sur la facturation ce mois-ci, pouvez-vous vérifier ?",BILLING_AMOUNT_INCORRECT
TCK-0014145,CLT-001495,2024-01-02T07:36:19,email,billing_core,pro,medium,resolved,9.31,False,False,Aucune facture n'a été générée pour la dernière période.,MISSING_INVOICE
TCK-0014979,CLT-002045,2024-01-02T07:46:58,chat,billing_core,starter,medium,resolved,10.36,False,False,Je ne trouve pas la facture du mois dernier dans l'outil.,MISSING_INVOICE
TCK-0008014,CLT-000783,2024-01-02T07:47:37,chat,billing_core,starter,medium,resolved,17.5,False,False,Aucune facture n'a été générée pour la dernière période.,MISSING_INVOICE
TCK-0013942,CLT-001274,2024-01-02T09:02:58,email,billing_core,pro,low,resolved,3.83,False,True,Aucune facture n'a été générée pour la dernière période.,MISSING_INVOICE
TCK-0017453,CLT-001902,2024-01-02T10:57:27,email,reporting,starter,high,resolved,118.56,False,False,Les chiffres du reporting ne sont pas bons.,REPORT_DATA_INCORRECT
TCK-0000198,CLT-000499,2024-01-02T11:21:00,email,billing_core,starter,medium,resolved,19.44,False,False,La réduction négociée n'est pas prise en compte.,DISCOUNT_RULES_ISSUE
TCK-0013048,CLT-001531,2024-01-02T11:26:56,chat,tax_vat,starter,medium,resolved,35.75,False,False,"Le total TTC est bizarre, on dirait un souci de taxes.",VAT_CALCULATION_BUG
TCK-0016191,CLT-002399,2024-01-02T11:57:04,email,billing_core,starter,high,resolved,81.65,False,False,La clôture mensuelle échoue avec un message d'erreur.,MONTH_END_CLOSING_ISSUE
TCK-0013953,CLT-002301,2024-01-02T12:00:34,email,subscriptions,starter,medium,resolved,43.85,True,False,"On a sûrement raté un réglage à l'installation, ça ne marche pas.",ONBOARDING_SETUP_ERROR
TCK-0004819,CLT-000028,2024-01-02T12:02:50,chat,billing_core,enterprise,high,resolved,71.17,False,False,"Grosse instabilité, ça coupe puis ça revient.",INFRA_INCIDENT
TCK-0016338,CLT-001959,2024-01-02T12:14:18,chat,billing_core,starter,low,resolved,4.87,False,False,Je ne reçois plus les notifications par email.,NOTIFICATIONS_NOT_SENT
TCK-0004000,CLT-000419,2024-01-02T12:48:57,email,billing_core,starter,medium,resolved,21.56,False,False,On voit des doublons de factures dans l'historique.,DUPLICATE_INVOICE
TCK-0013318,CLT-000721,2024-01-02T12:56:01,chat,billing_core,pro,medium,resolved,22.03,False,False,"Il y a un écart sur la facturation ce mois-ci, pouvez-vous vérifier.",BILLING_AMOUNT_INCORRECT
TCK-0008113,CLT-002318,2024-01-02T13:09:35,email,billing_core,starter,low,resolved,3.24,False,False,Les pges mettent longtemps à charger.,APP_SLOWNESS
TCK-0000039,CLT-001927,2024-01-02T13:57:41,email,billing_core,starter,medium,resolved,12.04,False,False,C'est lent et ça timeout parfois.,APP_SLOWNESS
TCK-0002835,CLT-001434,2024-01-02T13:58:36,web,tax_vat,starter,medium,resolved,25.5,False,False,La TVA sur la facture ne correspond pas au taux paramétré.,VAT_CALCULATION_BUG
TCK-0016683,CLT-000947,2024-01-02T15:05:54,email,subscriptions,pro,medium,open,10.76,False,False,"Je ne peux pas ajouter un utilisateur supplémentaire, pourquoi ?",PLAN_LIMIT_CONFUSION
TCK-0001203,CLT-002240,2024-01-02T15:16:54,email,billing_core,starter,medium,open,19.14,False,False,Les remises disparaissent sur certaines lignes de facture.,DISCOUNT_RULES_ISSUE
TCK-0015858,CLT-001070,2024-01-02T15:27:28,chat,billing_core,pro,low,resolved,16.91,False,False,"La facture affiche un montant trop élevé, je ne comrends pas.",BILLING_AMOUNT_INCORRECT
TCK-0018943,CLT-001760,2024-01-02T15:34:21,email,billing_core,pro,high,resolved,32.95,False,False,"La facture n'est pas encore générée, c'est bloqué ?",INVOICE_GENERATION_DELAY
TCK-0000079,CLT-000474,2024-01-02T15:48:44,web,billing_core,pro,high,resolved,41.88,False,False,Le total facturé est incorrect par rapport à notre contrat.,BILLING_AMOUNT_INCORRECT
TCK-0008725,CLT-000144,2024-01-02T16:17:41,email,billing_core,pro,high,resolved,37.33,False,False,La promotion/remise ne s'applique pas comme avant.,DISCOUNT_RULES_ISSUE
TCK-0016294,CLT-002204,2024-01-02T16:41:39,chat,tax_vat,starter,medium,resolved,48.24,False,False,On dirait que le taux de TVA est incorrect sur certaines factures.,VAT_CALCULATION_BUG
TCK-0000050,CLT-001052,2024-01-02T16:44:24,email,auth_access,pro,medium,resolved,5.22,False,False,"Le reset mot de passe ne fonctionne pas, je ne reçois rien.",PASSWORD_RESET_ISSUE
TCK-0007562,CLT-000978,2024-01-02T17:27:16,web,tax_vat,starter,low,resolved,5.46,False,False,On dirait que le taux de TVA est incorrect sur certaines factures.,VAT_CALCULATION_BUG
TCK-0006837,CLT-002288,2024-01-02T17:34:18,chat,billing_core,pro,medium,resolved,28.63,False,False,On voit des doublons de factures dans l'historique.,DUPLICATE_INVOICE
TCK-0014458,CLT-000603,2024-01-02T17:37:59,chat,billing_core,starter,high,resolved,65.55,False,False,Les remises disparaissent sur certaines lignes de facture.,DISCOUNT_RULES_ISSUE
TCK-0015625,CLT-001489,2024-01-02T17:52:55,chat,billing_core,starter,high,open,36.31,False,True,La promotion/remise ne s'applique pas comme avant.,DISCOUNT_RULES_ISSUE
TCK-0009554,CLT-001398,2024-01-02T19:24:54,chat,billing_core,starter,low,open,5.36,False,False,Les remises ne semblent plus s'appliquer sur nos factures.,DISCOUNT_RULES_ISSUE
TCK-0013393,CLT-001376,2024-01-02T20:51:03,chat,subscriptions,pro,medium,resolved,22.59,False,False,"On atteint une limite, je ne comprends pas laquelle.",PLAN_LIMIT_CONFUSION
TCK-0006929,CLT-002456,2024-01-02T20:53:07,email,reporting,starter,low,resolved,5.8,False,False,L'export CSV est incomplet ou corrompu.,CSV_EXPORT_ISSUE
TCK-0014266,CLT-002374,2024-01-02T22:12:31,chat,reporting,enterprise,medium,resolved,23.82,False,False,Le rapport affiche des données incohérentes.,REPORT_DATA_INCORRECT
TCK-0008452,CLT-000225,2024-01-02T22:45:22,chat,billing_core,pro,low,resolved,7.53,True,False,"La même facture apparaît deux fois, merci de corriger.",DUPLICATE_INVOICE
TCK-0005339,CLT-001106,2024-01-02T22:58:03,chat,billing_core,starter,low,resolved,5.04,False,False,On voit des doublons de factures dans l'historique.,DUPLICATE_INVOICE
TCK-0018499,CLT-000646,2024-01-02T23:13:10,email,reporting,starter,medium,resolved,51.2,False,False,Les chiffres du reporting ne sont pas bons.,REPORT_DATA_INCORRECT
TCK-0010302,CLT-001139,2024-01-02T23:35:47,web,billing_core,enterprise,urgent,resolved,44.17,False,False,"Il y a un écart sur la facturation ce mois-ci, pouvez-vous vérifier ?",BILLING_AMOUNT_INCORRECT
TCK-0009916,CLT-002432,2024-01-02T23:37:12,chat,billing_core,pro,low,resolved,6.94,False,False,"Il y a un écart sur la facturation ce mois-ci, pouvez-vous vérifier ?",BILLING_AMOUNT_INCORRECT
TCK-0010107,CLT-000616,2024-01-03T00:03:01,chat,billing_core,starter,low,resolved,7.95,False,False,Le total facturé est incorrect par rapport à notre contrat.,BILLING_AMOUNT_INCORRECT
TCK-0011083,CLT-000204,2024-01-03T00:29:09,chat,subscriptions,pro,low,resolved,7.86,False,False,"Je n'arrive pas à modifier l'abonnement, erreur.",SUBSCRIPTION_CONFIG_ERROR
TCK-0004621,CLT-000444,2024-01-03T01:13:30,email,subscriptions,starter,medium,resolved,14.35,False,False,Le changement de plan n'est pas pris en compte.,SUBSCRIPTION_CONFIG_ERROR
TCK-0008393,CLT-000807,2024-01-03T01:29:44,email,billing_core,enterprise,medium,resolved,39.55,False,True,"J'ai deux factures pour la mêmme période, c'est normal ?",DUPLICATE_INVOICE
TCK-0001351,CLT-000276,2024-01-03T01:49:32,chat,tax_vat,pro,medium,resolved,16.04,False,False,La TVA sur la facture ne correspond pas au taux paramétré.,VAT_CALCULATION_BUG
TCK-0012082,CLT-001622,2024-01-03T02:05:55,chat,billing_core,starter,low,open,6.29,False,False,Les remises ne semblent plus s'appliquer sur nos factures.,DISCOUNT_RULES_ISSUE
TCK-0018768,CLT-001597,2024-01-03T02:14:42,email,auth_access,pro,high,resolved,64.77,False,False,"Un utilisateur ne voit pas les factures, problème de permissions.",PERMISSIONS_ROLE_ISSUE
TCK-0013519,CLT-002451,2024-01-03T02:27:57,web,billing_core,pro,medium,resolved,69.1,False,False,"La facture de juin manque, je ne peux pas la télécharger.",MISSING_INVOICE
TCK-0018762,CLT-001753,2024-01-03T02:29:43,web,billing_core,pro,high,resolved,47.4,False,False,Les notifications ne sonnt pas envoyées aux utilisateurs.,NOTIFICATIONS_NOT_SENT
TCK-0010567,CLT-001636,2024-01-03T02:34:44,email,billing_core,enterprise,high,resolved,76.21,False,False,"Problème sur l'application mobile, ça freeze.",MOBILE_APP_ISSUE
TCK-0011658,CLT-001901,2024-01-03T03:19:19,email,subscriptions,enterprise,medium,resolved,31.08,False,False,"Le paramétrage initial semble incorrect, rien ne s'affiche.",ONBOARDING_SETUP_ERROR
TCK-0007001,CLT-000264,2024-01-03T03:36:45,email,tax_vat,enterprise,high,resolved,94.77,False,True,On dirait que le taux de TVA est incorrect sur certaines factures.,VAT_CALCULATION_BUG
TCK-0015291,CLT-002258,2024-01-03T05:06:17,email,subscriptions,pro,high,resolved,27.77,False,False,"Je ne peux pas ajouter un utilisateur supplémentaire, pourquoi ?",PLAN_LIMIT_CONFUSION
TCK-0002358,CLT-000847,2024-01-03T05:12:12,chat,billing_core,enterprise,medium,resolved,19.34,False,False,"La facture affiche un montant trop élevé, je ne comprends pas.",BILLING_AMOUNT_INCORRECT
TCK-0001778,CLT-000531,2024-01-03T05:58:37,email,billing_core,starter,urgent,resolved,70.68,False,False,"La même facture apparaît deux fois, merci de corriger.",DUPLICATE_INVOICE
TCK-0011712,CLT-001123,2024-01-03T06:04:47,web,billing_core,starter,medium,resolved,18.4,False,False,Le montant de la facture ne correspond pas à ce qui était prévu.,BILLING_AMOUNT_INCORRECT
TCK-0005627,CLT-000479,2024-01-03T06:52:54,email,billing_core,starter,medium,resolved,21.21,False,False,"La facture de novembre manque, je ne peux pas la télécharger.",MISSING_INVOICE
TCK-0008488,CLT-001951,2024-01-03T07:35:37,chat,billing_core,starter,low,resolved,3.67,False,False,Les remises ne semblent plus s'appliquer sur nos factures.,DISCOUNT_RULES_ISSUE
TCK-0001035,CLT-001175,2024-01-03T08:25:04,web,billing_core,pro,medium,resolved,14.14,False,False,"Il manque une facture, pouvez-vous la régénérer ?",MISSING_INVOICE
TCK-0002264,CLT-002286,2024-01-03T08:41:08,chat,billing_core,enterprise,high,resolved,23.41,False,False,Une facture a été générée en double pour le même client.,DUPLICATE_INVOICE
TCK-0018253,CLT-000628,2024-01-03T09:55:18,email,billing_core,enterprise,low,resolved,4.16,True,False,Aucune facture n'a été géérée pour la dernière période.,MISSING_INVOICE
TCK-0008351,CLT-000362,2024-01-03T10:04:23,email,billing_core,starter,medium,resolved,8.47,False,False,"La facture de août manque, je ne peux pas la télécharger.",MISSING_INVOICE
TCK-0006628,CLT-001475,2024-01-03T10:22:18,email,tax_vat,starter,high,resolved,132.5,False,False,On dirait que le taux de TVA est incorrect sur certaines factures.,VAT_CALCULATION_BUG
TCK-0005433,CLT-001366,2024-01-03T11:39:20,email,billing_core,pro,medium,open,18.99,False,True,La promotion/remise ne s'applique pas comme avant.,DISCOUNT_RULES_ISSUE
TCK-0013250,CLT-000553,2024-01-03T11:48:39,web,tax_vat,starter,medium,resolved,13.14,False,False,"Le total TTC est bizarre, on dirait un souci de taxes.",VAT_CALCULATION_BUG
TCK-0018734,CLT-002241,2024-01-03T12:10:21,chat,billing_core,starter,low,resolved,6.79,False,True,Le total factré est incorrect par rapport à notre contrat.,BILLING_AMOUNT_INCORRECT
TCK-0019692,CLT-001494,2024-01-03T13:06:21,chat,billing_core,starter,high,resolved,42.88,False,False,Les remises ne semblent plus s'appliquer sur nos factures.,DISCOUNT_RULES_ISSUE
TCK-0013931,CLT-002168,2024-01-03T13:59:19,web,billing_core,pro,high,resolved,43.84,True,False,Je ne reçois plus les notifications par email.,NOTIFICATIONS_NOT_SENT
TCK-0008122,CLT-001914,2024-01-03T14:19:13,chat,subscriptions,starter,medium,resolved,9.98,False,False,"Je ne peux pas ajouter un utilisateur supplémentaire, pourquoi ?",PLAN_LIMIT_CONFUSION
TCK-0015589,CLT-000049,2024-01-03T14:20:02,email,subscriptions,pro,medium,resolved,10.43,False,False,Je ne comprends pas comment activer cette fonctionnalité.,FEATURE_MISUNDERSTANDING
TCK-0014850,CLT-000777,2024-01-03T14:50:35,email,reporting,pro,medium,resolved,18.43,False,False,L'export CSV est incomplet ou corrompu.,CSV_EXPORT_ISSUE
TCK-0000867,CLT-000138,2024-01-03T15:01:57,email,billing_core,enterprise,medium,resolved,20.77,False,False,"Il manque une facture, pouvez-vous la régénérer ?",MISSING_INVOICE
TCK-0017784,CLT-001957,2024-01-03T15:22:12,email,billing_core,starter,high,resolved,70.68,False,False,"Il manque une facture, pouvez-vous la régénérer ?",MISSING_INVOICE
TCK-0004432,CLT-000619,2024-01-03T15:26:26,web,billing_core,starter,low,resolved,3.15,False,False,"Erreur lors de la clôture mensuelle, on est bloqués.",MONTH_END_CLOSING_ISSUE
TCK-0017265,CLT-000490,2024-01-03T15:29:21,email,billing_core,starter,high,resolved,85.92,False,False,Le total facturé est incorrect par rapport à notre contrat.,BILLING_AMOUNT_INCORRECT
TCK-0001812,CLT-000331,2024-01-03T15:45:15,email,subscriptions,enterprise,medium,resolved,19.37,False,True,"Une option est grisée, on dirait une limitation.",PLAN_LIMIT_CONFUSION
TCK-0016049,CLT-001655,2024-01-03T15:47:59,web,billing_core,starter,low,open,8.4,False,False,Les remises ne semblent plus s'appliquer sur nos factures.,DISCOUNT_RULES_ISSUE
TCK-0014371,CLT-002494,2024-01-03T16:04:28,email,billing_core,enterprise,high,resolved,27.81,False,False,"On attend la facture depuis ce matin, toujours rien.",INVOICE_GENERATION_DELAY
TCK-0018266,CLT-000684,2024-01-03T16:19:04,chat,billing_core,pro,low,resolved,6.95,False,False,La clôture tourne en boucle et ne se termine pas.,MONTH_END_CLOSING_ISSUE
TCK-0018024,CLT-002486,2024-01-03T16:38:11,chat,tax_vat,starter,medium,resolved,31.75,False,False,"Le montant TTC ne colle pas, la TVA semble mal appliquée.",VAT_CALCULATION_BUG
TCK-0011671,CLT-000896,2024-01-03T16:39:44,chat,subscriptions,starter,medium,resolved,8.03,False,False,"L'abonnement semble mal paramétré, ça facture mal.",SUBSCRIPTION_CONFIG_ERROR
TCK-0002368,CLT-001271,2024-01-03T17:15:30,chat,tax_vat,starter,medium,resolved,12.26,False,False,On dirait que le taux de TVA est incorrect sur certaines factures.,VAT_CALCULATION_BUG
